epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,172.162,4.41196,0.0461,0.14026,4.2666,4.08935e-05,4.08935e-05,4.08935e-05
2,335.772,4.0659,0.1487,0.36688,3.74181,8.10828e-05,8.10828e-05,8.10828e-05
3,501.229,3.56165,0.26169,0.5513,3.11106,0.00012046,0.00012046,0.00012046
4,668.696,3.04866,0.31558,0.63571,2.70139,0.000119347,0.000119347,0.000119347
5,832.404,2.73149,0.36818,0.69221,2.4282,0.000118129,0.000118129,0.000118129
6,997.902,2.53198,0.41234,0.71883,2.24421,0.000116912,0.000116912,0.000116912
7,1165.55,2.35701,0.44026,0.74416,2.17988,0.000115694,0.000115694,0.000115694
8,1348.3,2.22382,0.46364,0.76234,2.08193,0.000114476,0.000114476,0.000114476
9,1527.2,2.07933,0.47987,0.77143,2.0147,0.000113258,0.000113258,0.000113258
10,1701.54,2.0059,0.48766,0.78182,1.92111,0.000112041,0.000112041,0.000112041
11,1875.58,1.92369,0.49351,0.80065,1.86083,0.000110823,0.000110823,0.000110823
12,2031.03,1.84126,0.51429,0.80649,1.80491,0.000109605,0.000109605,0.000109605
13,2179.94,1.78274,0.51623,0.80714,1.80103,0.000108388,0.000108388,0.000108388
14,2336.87,1.71503,0.53506,0.81688,1.75292,0.00010717,0.00010717,0.00010717
15,2500.56,1.64409,0.52338,0.81623,1.76007,0.000105952,0.000105952,0.000105952
16,2657.43,1.59677,0.54156,0.82208,1.69753,0.000104735,0.000104735,0.000104735
17,2817.87,1.53115,0.53636,0.82338,1.68254,0.000103517,0.000103517,0.000103517
18,2980.77,1.51551,0.53831,0.82922,1.69267,0.000102299,0.000102299,0.000102299
19,3155.4,1.47891,0.54481,0.83312,1.64952,0.000101081,0.000101081,0.000101081
20,3333.69,1.44358,0.56234,0.83182,1.63047,9.98637e-05,9.98637e-05,9.98637e-05
21,3507.31,1.35972,0.5487,0.83831,1.64117,9.8646e-05,9.8646e-05,9.8646e-05
22,3685.31,1.35918,0.56039,0.8487,1.6383,9.74283e-05,9.74283e-05,9.74283e-05
23,3866.31,1.30054,0.56234,0.84156,1.62064,9.62106e-05,9.62106e-05,9.62106e-05
24,4045.01,1.27654,0.57468,0.84805,1.60143,9.49929e-05,9.49929e-05,9.49929e-05
25,4221.52,1.23879,0.57273,0.84675,1.5875,9.37752e-05,9.37752e-05,9.37752e-05
26,4399.32,1.2382,0.57273,0.84351,1.59912,9.25575e-05,9.25575e-05,9.25575e-05
27,4553.21,1.18836,0.57792,0.84416,1.60648,9.13398e-05,9.13398e-05,9.13398e-05
28,4702.9,1.14779,0.58442,0.85649,1.59657,9.01221e-05,9.01221e-05,9.01221e-05
29,4852.1,1.13307,0.57208,0.8526,1.59303,8.89044e-05,8.89044e-05,8.89044e-05
30,5001.9,1.10109,0.58766,0.85,1.58026,8.76867e-05,8.76867e-05,8.76867e-05
31,5149.79,1.0798,0.58117,0.85649,1.60016,8.6469e-05,8.6469e-05,8.6469e-05
32,5298.73,1.05153,0.58766,0.8487,1.5777,8.52513e-05,8.52513e-05,8.52513e-05
33,5447.16,1.03168,0.58636,0.85779,1.60044,8.40336e-05,8.40336e-05,8.40336e-05
34,5596.74,1.02033,0.58896,0.85649,1.56449,8.28159e-05,8.28159e-05,8.28159e-05
