epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,495.043,4.35692,0.05649,0.16558,4.20853,4.08935e-05,4.08935e-05,4.08935e-05
2,1007.29,3.95414,0.22987,0.49935,3.45316,8.10828e-05,8.10828e-05,8.10828e-05
3,1495.88,3.20079,0.36558,0.68896,2.61855,0.00012046,0.00012046,0.00012046
4,1977.22,2.58263,0.4513,0.7474,2.16657,0.000119347,0.000119347,0.000119347
5,2481.23,2.19864,0.51558,0.78506,1.8673,0.000118129,0.000118129,0.000118129
6,3033.55,1.91558,0.53831,0.81753,1.7144,0.000116912,0.000116912,0.000116912
7,3550.85,1.71816,0.5539,0.82662,1.61622,0.000115694,0.000115694,0.000115694
8,4128,1.55044,0.59156,0.83506,1.53348,0.000114476,0.000114476,0.000114476
9,4644.96,1.4112,0.59935,0.85455,1.4398,0.000113258,0.000113258,0.000113258
10,5166.56,1.30942,0.61104,0.86234,1.37135,0.000112041,0.000112041,0.000112041
11,5711.16,1.209,0.63506,0.87403,1.30936,0.000110823,0.000110823,0.000110823
12,6256.33,1.10445,0.63312,0.88182,1.2895,0.000109605,0.000109605,0.000109605
13,6804.36,1.03685,0.64286,0.88182,1.25752,0.000108388,0.000108388,0.000108388
14,7339.55,0.97382,0.65,0.88636,1.25257,0.00010717,0.00010717,0.00010717
15,7869.04,0.89437,0.63766,0.88961,1.26022,0.000105952,0.000105952,0.000105952
16,8398.71,0.84858,0.66169,0.8961,1.2377,0.000104735,0.000104735,0.000104735
17,8905.62,0.79922,0.65065,0.89935,1.22256,0.000103517,0.000103517,0.000103517
18,9369.69,0.75665,0.65649,0.89481,1.24308,0.000102299,0.000102299,0.000102299
19,9829.01,0.71499,0.66104,0.90065,1.24512,0.000101081,0.000101081,0.000101081
20,10287.9,0.68508,0.66299,0.8974,1.25289,9.98637e-05,9.98637e-05,9.98637e-05
21,10747.2,0.64585,0.67208,0.9026,1.2063,9.8646e-05,9.8646e-05,9.8646e-05
22,11261.4,0.60615,0.66494,0.89935,1.23796,9.74283e-05,9.74283e-05,9.74283e-05
23,11780.7,0.56728,0.66364,0.90195,1.24918,9.62106e-05,9.62106e-05,9.62106e-05
24,12291.7,0.56216,0.66883,0.90455,1.23382,9.49929e-05,9.49929e-05,9.49929e-05
25,12785.6,0.53588,0.67468,0.90519,1.19828,9.37752e-05,9.37752e-05,9.37752e-05
26,13254.6,0.5073,0.67662,0.90714,1.2496,9.25575e-05,9.25575e-05,9.25575e-05
